A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A3954,JOHN PHILIP SOUSA ELEMENTARY SCHOOL 101 SANDS POINT RD PORT WASHINGTON,B2296,John Philip Sousa Elem School 101 Sands Point Rd Port Washingtn,0.855168
A797,PS 32 SAMUEL MILLS SPROLE 317 HOYT ST BROOKLYN,B3287,P.S. 032 Samuel Mills Sprole 317 Hoyt St Brooklyn,0.8550459
A294,PS 38 ROBERTO CLEMENTE 232 E 103RD ST NEW YORK,B3240,P.S. 015 Roberto Clemente 333 E 4th St Manhattan,0.85502404
A1239,PS 23 RICHMONDTOWN 30 NATICK ST STATEN ISLAND,B4110,Ps 78 100 Tompkins Ave Staten Island,0.8550229
A4120,MARY K VOLLMER ELEMENTARY SCHOOL 150 TELEPHONE RD WEST HENRIETTA,B1447,Floyd S Winslow Elementary Sch 725 Pinnacle Rd Henrietta,0.8550107
A446,PS 100 ISAAC CLASON 800 TAYLOR AVE BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.85491014
A4365,CHESTNUT RIDGE MIDDLE SCHOOL 892 NY-45 CHESTNUT RIDGE,B854,Chestnut Ridge Jr High School 892 Chestnut Rdg Rd Chestnut Ridge,0.8546693
A366,PS 189 2580 AMSTERDAM AVE NEW YORK,B4111,Ps 936 270 59th Street Brooklyn,0.85465974
A4858,SUCCESS ACADEMY CHARTER SCHOOL-NYC 12 2169 BLACKROCK AVE BRONX,B4765,Strive Charter School 604 E 139th St Bronx,0.85461974
A302,PS 146 ANN M SHORT 421 E 106TH ST NEW YORK,B3538,P.S. 146 Ann M. Short 421 E 106th St Manhattan,0.8544829
A3995,RED JACKET ELEMENTARY SCHOOL 1506 RT 21 SHORTSVILLE,B4185,Red Jacket Elementary School 1506 Route 21 Manchester,0.85447466
A1480,PS 64 JOSEPH P ADDABBO 82-01 101ST AVE OZONE PARK,B3371,P.S. 064 Joseph P. Addabbo 8201 101st Ave Ozone Park,0.8544383
A2344,RIVERSIDE ACADEMY HIGH SCHOOL 51 ONTARIO ST BUFFALO,B1206,East Middle School 1445 Center Rd Buffalo,0.8543868
A1650,PS 163 BATH BEACH 109 BAY 14TH ST BROOKLYN,B3583,P.S. 163 Bath Beach 109 Bay 14th Street Brooklyn,0.8543728
A2406,BLACK RIVER SCHOOL PO BOX 218 BLACK RIVER,B402,Black River Elementary School 160 Leray St Black River,0.85419357
A1038,PS 26 RUFUS KING 195-02 69TH AVE FLUSHING,B3272,P.S. 026 Rufus King 195-02 69th Ave Queens,0.8541918
A4327,SILAS WOOD 6TH GRADE CENTER 23 HARDING PL HUNTINGTON STATION,B4504,Silas Wood Education Center 23 Harding Pl Huntington Sta,0.8541448
A1350,PS 159 ISAAC PITKIN 2781 PITKIN AVE BROOKLYN,B3571,P.S. 159 Isaac Pitkin 2781 Pitkin Avenue Brooklyn,0.85409313
A801,PS 58 CARROLL (THE) 330 SMITH ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.8540465
A1614,PS 79 HORAN SCHOOL 55 E 120TH ST NEW YORK,B3852,P.S. M079 - Horan School 55 East 120 Street Manhattan,0.85401464
A3728,NORTHEASTERN CLINTON MIDDLE SCHOOL 103 RT 276 CHAMPLAIN,B902,Clinton Middle School 75 Chenango Ave Clinton,0.8540086
A245,MS 297 75 MORTON ST NEW YORK,B4119,Ps/Ms 194 2365 Waterbury Ave Bronx,0.8539395
