A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A1206,HUNTERS POINT COMMUNITY MIDDLE SCHOOL 1-50 51ST AVE LONG ISLAND CITY,B2023,Hunters Point Community Middle School 1-50 51st Ave Queens,0.9224946
A4638,JOHN F KENNEDY SCHOOL 175 BROOKVALE AVE WEST BABYLON,B2330,Kennedy Elementary School 175 Brookvale Ave West Babylon,0.92244464
A1428,JOHN BOWNE HIGH SCHOOL 63-25 MAIN ST FLUSHING,B2267,John Bowne High School 63-25 Main St Queens,0.9224423
A2206,REINHARD EARLY CHILDHOOD CENTER 2750 S ST MARK'S AVE BELLMORE,B4193,Reinhard Early Childhood Ctr. 2750 S Saint Marks Ave Bellmore,0.9222807
A1682,DETECTIVE WENJIAN LIU SCHOOL OF CIVICS AND ENTREPRENERUSHIP 6312 13TH AVE BROOKLYN,B4854,The Detective Wenjian Liu School Of Civics And Entrepreneurship 6312 13th Ave Brooklyn,0.9221695
A3277,LAWRENCE EARLY CHILDHOOD CENTER AT #4 SCHOOL 87 WANSER AVE INWOOD,B1,#4 Early Childhood Center 87 Wanser Ave Inwood,0.9221056
A3469,MEXICO ELEMENTARY SCHOOL 26 ACADEMY ST MEXICO,B2764,Mexico High School 3338 Main St Mexico,0.92196673
A4388,NASSAKEAG ELEMENTARY SCHOOL PO BOX 9050 EAST SETAUKET,B2916,Nassakeag Elementary School 490 Pond Path East Setauket,0.9219443
A3143,ISLAND PARK LINCOLN ORENS MIDDLE SCHOOL 150 TRAFALGAR BLVD ISLAND PARK,B2501,Lincoln Orens School Trafalgar Blvd Island Park,0.9218451
A1567,PS 811 CONNIE LEKAS SCHOOL 2525 HARING ST BROOKLYN,B3851,P.S. K811 Connie Lekas School 2525 Haring Street Brooklyn,0.92168266
A1597,PS 188 770 GROTE ST BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.92149
A3769,SCHOOL 9M-OCEANSIDE MIDDLE SCHOOL 186 ALICE AVE OCEANSIDE,B3098,Oceanside Middle School 186 Alice Ave Oceanside,0.9214471
A1835,BROOKLYN DREAMS CHARTER SCHOOL 259 PARKVILLE AVE BROOKLYN,B605,Brooklyn Urban Garden Charter School 500 Nineteenth St Brooklyn,0.92142725
A3707,HAROLD D FAYETTE SCHOOL 1057 MERRICK AVE NORTH MERRICK,B1415,Fayette Elementary School 1057 Merrick Ave N Merrick,0.92133355
A4507,GENERAL HERKIMER ELEMENTARY SCHOOL 420 KEYES RD UTICA,B1578,General Herkimer Elem School 420 Keyes Rd Utica,0.9213283
A174,NYC MUSEUM SCHOOL 333 W 17TH ST NEW YORK,B2910,N.Y.C. Museum School 333 W 17th Street Manhattan,0.92118585
A107,STAR ACADEMY PS 63 (THE) 121 E 3RD ST NEW YORK,B4914,The Star Academy - P.S.63 121 E 3rd St Manhattan,0.92117107
A402,PS/MS 29 MELROSE SCHOOL 758 COURTLANDT AVE BRONX,B3901,P.S./M.S. 029 Melrose School 758 Courtlandt Avenue Bronx,0.9209049
A3637,NEWARK VALLEY MIDDLE SCHOOL PO BOX 547 NEWARK VALLEY,B2982,Newark Valley Middle School 88 Whig St Newark Valley,0.92089206
A4283,THEODORE ROOSEVELT SCHOOL 2495 WILLIAM ST CHEEKTOWAGA,B4938,Theodore Roosevelt Elem School 2495 William St Buffalo,0.9207099
A2767,FONDA-FULTONVILLE 5-8 SCHOOL PO BOX 1501 FONDA,B1450,Fonda-Fultonville 5-8 School 112 Old Johnstown Rd Fonda,0.92067426
A3443,TANGIER SMITH ELEMENTARY SCHOOL 336 BLANCO DR MASTIC BEACH,B4807,Tangier Smith Elem School 336 Blanco Dr Mastic Beach,0.92066896
A3569,PENNINGTON SCHOOL 20 FAIRWAY AVE MOUNT VERNON,B3995,Pennington School 20 Fairway Mount Vernon,0.920582
